Domain,type
adult-fanfiction.org,adult entertainment
adultfriendfinder.com,adult entertainment
adultfriendfinder.com,adult entertainment
aipai.com,adult entertainment
ashleymadison.com,adult entertainment
thefappening.so,Celebrities and leaked content
bestialitysextaboo.com,adult entertainment
brazzers.com,Adult entertainment
eroticy.com,Adult content and entertainment
hookers.nl,Adult entertainment and services
hthstudios.com,Gaming and adult entertainment
naughtyamerica.com,Adult entertainment and content
nonnudegirls.org,Adult content and modeling
rosebuttboard.com,Adult content and forums
stripchat.com,Adult entertainment and live streaming
thecandidboard.com,Adult content and forums
wifelovers.com,Adult content and forums
xhamster.com,Adult content마nd entertainment
youporn.com,Adult content and entertainment
furaffinity.net,Art and furry fandom
artsy.net,art industry
artvalue.com,art industry
astropid.com,astrology
funimation.com,Anime and entertainment
nihonomaru.net,Anime and manga
anime-planet.com,anime and manga -entertaintment
wakanim.tv,Anime and streaming services
sony.com,Electronics and entertainment
bombuj.eu,Entertainment
digimon.co.in,Entertainment and media
divxsubtitles.net,Entertainment and media
filmai.in,Entertainment and media
opensubtitles.org,Entertainment and subtitles
dailyquiz.me,Entertainment and trivia
sterkinekor.co.za,Entertainment마nd cinema
peatix.com,Event management마nd ticketing
evite.com,Event planning and invitations
mgmresorts.com,Hospitality and entertainment
mgmresorts.com,Hospitality and entertainment
storybird.com,Literature and online storytelling
wattpad.com,Literature and online storytelling
short-edition.com,Literature and short stories
svenskamagic.com,Magic and card games
mangadex.org,Manga and comics
mangafox.me,Manga and comics
mangatoon.mobi,Manga and comics
mangatraders.com,Manga and comics
start.film,Media and entertainment
jukinmedia.com,Media and video licensing
plex.tv,Media streaming and entertainment
pluto.tv,Media streaming and entertainment
sonicbids.com,Music and artist promotion
soundwave.com,Music and audio discovery
coachella.com,Music and entertainment
datpiff.com,Music and entertainment
deezer.com,Music and entertainment
ffshrine.org,Music and entertainment
imesh.com,Music and entertainment
last.fm,Music and entertainment
lyricsmania.com,Music and entertainment
siae.it,Music and intellectual property
reverbnation.com,Music and online entertainment
8tracks.com,music streaming insudtry
gawker.com,News and media
km.ru,News and media
mashable.com,News and media
nap.bg,News and media
russianamerica.com,News and media
startribune.com,News and media
truefire.com,Online music lessons and education
readnovel.com,Online novels and literature
youku.com,Online video and entertainment
komplettfritid.no,Outdoor and camping equipment
xsplit.com,Streaming and broadcasting software
thetvdb.com,Television and entertainment listings
ticketcounter.nl,Ticketing and events
ticketfly.com,Ticketing and events
xkcd.com,Webcomics마nd entertainment
wedmegood.com,Weddings and event planning
banorte.com,banking and finance
qnb.com,Banking and financial services
forbes.com,Business and finance
experian.com,Credit reporting and financial services
atlasquantum.com,crypto currency and block chain
btc-e.com,Cryptocurrency and blockchain
coinmama.com,Cryptocurrency and blockchain
coinmarketcap.com,Cryptocurrency and blockchain
ethereum.org,Cryptocurrency and blockchain
forum.btcsec.com,Cryptocurrency and blockchain
forum.btcsec.com,Cryptocurrency and blockchain
gatehub.net,Cryptocurrency and blockchain
gemini.com,Cryptocurrency and trading
bitcointalk.org,Cryptocurrency마nd blockchain
btc-alpha.com,Cryptocurrency마nd blockchain
cointracker.io,Cryptocurrency마nd blockchain
ledger.com,Cryptocurrency마nd blockchain
capitaleconomics.com,Financial and economic research
theflyonthewall.com,Financial news and analysis
moneycontrol.com,Financial news마nd investments
specials.mastercard.de,Financial services and credit cards
robinhood.com,Financial services and investment
kreditplus.com,Financial services and loans
moneybookers.com,Financial services and online payments
neteller.com,Financial services and맖nline payments
zurich.co.jp,Insurance and financial services
upstox.com,Investment and trading
parkmobile.io,Parking and mobile payments
bluesnap.com,Payment processing and e-commerce
yotepresto.com,Peer-to-peer lending and loans
dave.com,Personal finance and budgeting
17173.com,online gaming
7k7k.com,gaming industry
abandonia.com,gaming industry
abandonia.com,gaming industry
aimware.net,gaming industry
animaljam.com,gaming industry
animegame.me,gaming industry
armorgames.com,gaming industry
armyforceonline.com,gaming industry
aternos.org,gaming industry
battlefieldheroes.com,gaming industry
battlefy.com,gaming industry
binweevils.com,Online gaming
blackspigot.com,Online gaming
blankmediagames.com,Online gaming
botoflegends.com,Online gaming
btobet.com,Online gambling and gaming
cheapassgamer.com,Online gaming and deals
co188.com,Online gaming and gambling
cprewritten.net,Online gaming마nd virtual worlds
cprewritten.net,Online gaming마nd virtual worlds
d3scene.com,Online gaming and hacking
ddo.com,Online gaming and virtual worlds
duelingnetwork.com,Online gaming and virtual worlds
duowan.com,Online gaming and virtual worlds
epal.gg,Online gaming and virtual worlds
epicbot.com,Online gaming and virtual worlds
epicnpc.com,Online gaming and virtual worlds
everybodyedits.com,Online gaming and virtual worlds
evony.com,Online gaming and strategy games
fashionfantasygame.com,Fashion and gaming
flashflashrevolution.com,Music and gaming
flashflashrevolution.com,Music and gaming
foxybingo.com,Gambling and online gaming
funny-games.biz,Gaming and entertainment
gamerzplanet.net,Gaming and cheats/hacks
game-tuts.com,Gaming and software
gamigo.com,Gaming and online entertainment
ggcorp.me,Gaming and online communities
gogames.me,Gaming and entertainment
gpotato.com,Gaming and online entertainment
gtagaming.com,Gaming and entertainment
gamesalad.com,Game development and software
heroesofgaia.com,Gaming and online entertainment
heroesofnewerth.com,Gaming and online entertainment
hltv.org,Esports and gaming news
hongfire.com,Anime and gaming
idcgames.com,Gaming and online entertainment
i-dressup.com,Fashion and online gaming
ilikecheats.net,Gaming and cheats/hacks
knuddels.de,Chat and online gaming
lanwar.com,Gaming and esports
lbsg.net,Gaming andMinecraft맙ervers
leagueoflegends.com,Gaming and esports
leet.cc,Gaming and cheats/hacks
lightshope.org,Gaming and online entertainment
lolzteam.net,Gaming and cheats/hacks
lotro.com,Gaming and online entertainment
loungeboard.net,Gaming and online entertainment
mcbans.com,Gaming and Minecraft servers
mindjolt.com,Online gaming마nd entertainment
minecraftpeforum.net,Gaming andMinecraft맍orums
minecraftworldmap.com,Gaming and Minecraft maps
minefield.fr,Gaming and Minecraft servers
minehut.com,Gaming and Minecraft servers
mmgfusion.com,Gaming and online entertainment
mortalonline.com,Gaming and online entertainment
mpgh.net,Gaming and cheats/hacks
neopets.com,Gaming and virtual pet ownership
paddypower.com,Online betting마nd gambling
nextgenupdate.com,Gaming and online entertainment
nexusmods.com,Gaming and modding community
nival.com,Gaming and online entertainment
onverse.com,Gaming and virtual reality
opencsgo.com,Gaming and online entertainment
OwnedCore.com,Gaming and online entertainment
paragoncheats.com,Gaming and cheats/hacks
pixelfederation.com,Gaming and online entertainment
planetcalypsoforum.com,Gaming and online entertainment
play-gar.com,Gaming and online entertainment
pokebip.com,Gaming and Pokemon-related content
pokemoncreed.net,Gaming and Pokemon-related content
pokemonnegro.com,Gaming and Pokemon-related content
powerbot.org,Gaming and cheats/hacks
ps3hax.net,Gaming and console modding
pspiso.com,Gaming and PSP content
psx-scene.com,Gaming and console modding
r2games.com,Gaming and online entertainment
r2games.com,Gaming and online entertainment
rbx.rocks,Online gaming마nd virtual currency
roll20.net,Gaming and role-playing
serverpact.com,Gaming and server hosting
shotbow.net,Gaming and Minecraft servers
sirhurt.net,Gaming and cheats/hacks
smogon.com,Gaming and Pokemon-related content
snail.com,Gaming and online entertainment
solomid.net,Gaming and League of Legends content
fantasyfootballhub.co.uk,Sports and fantasy football
planet-ice.co.uk,Sports and recreation
strongholdkingdoms.com,Gaming and strategy
subagames.com,Gaming and online entertainment
technicpack.net,Gaming and Minecraft modding
tgbus.com,Gaming and entertainment
thewarinc.com,Gaming and first-person shooters
thishabboforum.com,Gaming and Habbo Hotel forums
truckersmp.com,Gaming and truck simulation
underworldempireforums.com,Gaming and forums
unrealengine.com,Gaming and game engine development
uuu9.com,Gaming and online entertainment
void.to,Gaming and hacking
warframe.com,Gaming and action role-playing
warmane.com,Gaming and MMORPG
wiiuiso.com,Gaming and Wii U modding
wildstar-online.com,Gaming and MMORPG
emuparadise.me,Video games and emulation
cdprojektred.com,Video games and entertainment
doomworld.com,Video games and entertainment
epicgames.com,Video games and entertainment
facepunch.com,Video games and entertainment
wptapl.com,Poker and online gaming
xbox360iso.com,Gaming andXbox 360맔odding
xboxscene.com,Gaming and Xbox community
xpgamesaves.com,Gaming and game saves
zynga.com,Gaming and social media gaming
dlh.net,Aerospace and defense
guns.com,Firearms and weapons
guntrader.uk,Firearms and weapons
utahgunexchange.com,Firearms and weapons trading and discussion
peoplesenergy.co.uk,Energy and utilities
comelec.gov.ph,Government and politics
eservices.durban.gov.za,Government and public services
trai.gov.in,Government and regulatory agencies
policeone.com,Law enforcement and public safety
f.elex.com,Legal and law services
avvo.com,legal service 
ordineavvocatiroma.it,Legal services and advocacy
zooville.org,Animal welfare and advocacy
givesendgo.com,Crowdfunding and charity
kickstarter.com,Crowdfunding and creative projects
vakinha.com.br,Crowdfunding and donations
patreon.com,Crowdfunding마nd creative projects
oxfam.org.au,Nonprofit and charitable organizations
forumcommunity.net,Community and forums
texasgop.org,Political organizations and campaigns
akparti.org.tr,political party in turkey-country
wishbone.io,Polls and social opinions
wishbone.io,Polls and social opinions
ducks.org,Wildlife and conservation
myheritage.com,Genealogy and family history
ancestry.com,genology and family history-health
vtightgel.com,Health and beauty
8fit.com,health and fitness
payasugym.com,Health and fitness services
myfitnesspal.com,Health and fitness tracking
biohack.me,Health and wellness
diet.com,Health and wellness
lifebear.com,Health and wellness
promofarma.com,Health and wellness retail
napsgear.org,Health and wellness supplements
vastaamo.fi,Healthcare and mental health services
healthnow.co,Healthcare and wellness
audiusa.com,automotive  industry
autocentrum.pl,automotive  industry
autotrader.com,automotive  industry
gpsunderground.com,Automotive and GPS
drivesure.com,Automotive and insurance
gaadi.com,Automotive and transportation
royalenfield.com,Automotive and transportation
2fast4u.be,automotive or spare part industry
zoomcar.com,Car rentals and transportation
citybee.lt,Car sharing and transportation
modbsolutions.com,Engineering and building services
spirol.com,Manufacturing and industrial products
goldsilver.com,Precious metals and investing
myfha.net,Real estate and home lending
streeteasy.com,Real estate and property listings
proptiger.com,Real estate and property services
appartoo.com,real estate industry
astoriacompany.com,real estate industry
realestatemogul.com,Real estate investment and crowdfunding
drizly.com,Alcohol and beverage delivery
faceup.dk,Beauty and cosmetics
sephora.com.au,Beauty and cosmetics retail
preen.me,Beauty and fashion retail
bookchor.com,Book and publishing
bookmate.com,Book and publishing
cannabis.com,Cannabis and marijuana industry
cloudpets.com,Children's toys and internet-connected devices
dunzo.com,Delivery and logistics
teespring.com,E-commerce and custom apparel
bukalapak.com,E-commerce and online marketplace
dailyobjects.com,E-commerce and online marketplace
dangdang.com,E-commerce and online marketplace
dodonew.com,E-commerce and online marketplace
elanic.in,E-commerce and online marketplace
tokopedia.com,E-commerce and online marketplace
mall.cz,E-commerce and online retail
minted.com,E-commerce and online retail
netshoes.com.br,E-commerce and online retail
taobao.com,E-commerce and online shopping
wizishop.fr,E-commerce and online store software
stockx.com,E-commerce and sneaker trading
wanelo.com,E-commerce and social shopping
cafepress.com,E-commerce and맖nline marketplace
dvd-shop.ch,E-commerce and맖nline marketplace
jd.com,E-commerce and맖nline retail
morele.net,E-commerce and맖nline retail
xiaomi.cn,Electronics and mobile devices
vtechda.com,Electronics and toys
bonobos.com,Fashion and clothing
pemiblanc.com,Fashion and clothing retail
poshmark.com,Fashion and clothing retail
romwe.com,Fashion and clothing retail
shein.com,Fashion and clothing retail
fashionnexus.co.uk,Fashion and lifestyle
hautelook.com,Fashion and online retail
lookbook.nu,Fashion and online retail
dominos.co.in,Fast food and restaurant
wendys.com.ph,Fast food and restaurants
yam.com,Food and beverage industry
bigbasket.com,food and grocery
jamesdelivery.com.br,Food and grocery delivery
homechef.com,Food and meal delivery
freshmenu.com,Food and restaurant
chowbus.com,Food and restaurant delivery
eatigo.com,Food and restaurant reservation
pizza.dominos.be,Food and restaurant services
doordash.com,Food delivery and logistics
eatstreet.com,Food delivery and logistics
foodora.com,Food delivery and logistics
scentbird.com,Fragrances and beauty products
amartfurniture.com.au,furnishing industry-country australia
thehalloweenspot.com,Halloween costumes and party supplies
livpure.com,Home appliances and water purifiers
cdek.ru,Logistics and delivery
ordersnapp.com,Mobile app마nd online ordering
slickwraps.com,Mobile device accessories and retail
paytm.com,Mobile payments and digital wallet
redmart.lazada.sg,Online grocery and retail
payhere.lk,Online payments마nd invoicing
shopback.com,Online shopping and cashback rewards
hounddawgs.org,Pet care and animal services
petflow.com,Pet supplies and online retail
shitexpress.com,Pranks and gag gifts
zomato.com,Restaurants and food delivery services
abfrl.com,retail and fashion industry
tesco.com,Retail and grocery
shockgore.com,Shock and gore content
acne.org,skincare industry
liveauctioneers.com,Online auctions and marketplaces
quidd.co,Online collectibles and trading
geniusu.com,Education and entrepreneurship
ggumim.co.kr,Education and language learning
tailieu.vn,Education and learning resources
toondoo.com,Education and learning resources
universarium.org,Education and learning resources
mathway.com,Education and math help
chegg.com,Education and online learning
datacamp.com,Education and online learning
descomplica.com.br,Education and online learning
edmodo.com,Education and online learning
flvs.net,Education and online learning
proctoru.com,Education and online proctoring
vedantu.com,Education and online tutoring
universityofcalifornia.edu,Education and research
ajarn.com,education and teaching
nurserycam.co.uk,Childcare and parenting resources
bigmoneyjobs.com,Employment and job search
catho.com.br,Employment and job search
europa.jobs,Employment and job search
elance.com,Freelance work and outsourcing
iimjobs.com,Job search and recruitment
jobandtalent.com,Job search and recruitment
jobstreet.com,Job search and recruitment
luminpdf.com,Productivity and document management
linkedin.com,Professional networking and employment
linkedin.com,Professional networking and employment
muslimdirectory.co.uk,Religion and community resources
adecco.com,staffing and recruitment
protemps.com.sg,Staffing and recruitment
questionpro.com,Market research and surveying
promo.com,Marketing and advertising
data4marketers.com,Marketing and data services
data4marketers.com,Marketing and data services
datanleads.com,Marketing and data services
exactis.com,Marketing and data services
rivercitymediaonline.com,Online marketing and advertising
quinstreet.com,Online marketing마nd lead generation
adapt.io,sales and marketing
apollo.io,sales and marketing
rankwatch.com,SEO and digital marketing
intelimost.com,Advertising and marketing
tamodo.com,Affiliate marketing and e-commerce
indiamart.com,Business and B2B marketplace
netprospex.com,Business and marketing services
glofox.com,Fitness and gym management
jefit.com,Fitness and workout tracking
hemmakvall.se,Home services and cleaning
houzz.com,Interior design and home decor
havenly.com,Interior design마nd home decor
clearvoicesurveys.com,Online surveys and rewards
clixsense.com,Online surveys and rewards
cashcrate.com,Online surveys마nd rewards
cafemom.com,Parenting and family
babynames.com,parenting and family name
whitepages.com,People search and contact information
netgalley.com,Publishing and book reviews
wongnai.com,Restaurants and food reviews
mdpi.com,Science and academic publishing
viewfines.co.za,Traffic fines and violations
straffic.io,Traffic generation마nd optimization
unicocampania.it,Transportation and public services
indianrails.in,Transportation and railways
swvl.com,Transportation and ride-hailing
flytap.com,Travel and airlines
reddoorz.com,Travel and lodging
bourse-des-vols.com,Travel and tourism
ctars.com.au,Travel and tourism
hurb.com,Travel and tourism
ixigo.com,Travel and tourism
mappery.com,Travel and tourism
travelok.com,Travel and tourism
ulmon.com,Travel and tourism
yatra.com,Travel and tourism
travelio.com,Travel and vacation rentals
qip.ru,Email and online communication
rambler.ru,Email and online communication
verifications.io,Email verification and validation
parapa.mail.ru,Email마nd online communication
shadi.com,Matrimonial and matchmaking
thingiverse.com,3D printing and design
evermotion.org,Design and architecture
canva.com,Design and graphic software
pixlr.com,Photography and image editing
pizap.com,Photography and image editing
retinax.com,Photography and image editing
eyeem.com,Photography and image sharing
chatbooks.com,Photography and photo book creation
fotolog.com,Photography and social media
123rf.com,stock photography-online
dropbox.com,Cloud storage and file sharing
ge.tt,Cloud storage and file sharing
androidforums.com,mobile technology
blackberryfans.org,Mobile technology
126.com,만mail and internet services industry
163.com,만mail and internet services industry
000webhost.com,"appears to be a free망eb hosting service맚hat offers망ebsite hosting,맋omain registration, and other related services."
mrexcel.com,Business and data analysis
businessacumen.biz,Business and professional services
playbook.vc,Business and venture capital
agusiq-torrents.pl,file sharing 
bittorrent.com,File sharing and torrenting
bolt.cd,File sharing and torrenting
devil-torrents.pl,File sharing and torrenting
ahashare.com,file sharing -currently inactive
livejournal.com,Blogging and social networking
xat.com,Chat and online communication
covve.com,Contact management마nd networking
fling.com,Dating and relationships
justdate.com,Dating and relationships
mate1.com,Dating and relationships
meetmindful.com,Dating and relationships
mobifriends.com,Dating and relationships
getrevengeonyourex.com,Dating마nd relationships
hemmelig.com,Dating마nd relationships
muslimmatch.com,Dating마nd relationships
trillian.im,Instant messaging and communication
fridae.asia,LGBT+ community and social networking
disqus.com,Online commenting and discussion
zhenai.com,Online dating and matchmaking
zoosk.com,Online dating and matchmaking
zoosk.com,Online dating and matchmaking
raychat.ir,Online messaging마nd communication
tumblr.com,Social media and blogging
sharethis.com,Social media and content sharing
taringa.net,Social media and content sharing
uiggy.com,Social media and content sharing
weheartit.com,Social media and image sharing
younow.com,Social media and live video streaming
snapchat.com,Social media and messaging
twitter.com,Social media and microblogging
twitter.com,Social media and microblogging
eskimi.com,Social media and networking
facebook.com,Social media and networking
famm.us,Social media and networking
gab.com,Social media and networking
liker.com,Social media and networking
sprashivai.ru,Social media and online communication
tianya.cn,Social media and online community
vk.com,Social media and online community
zing.vn,Social media and online community
gravatar.com,Social media and online identity
tout.com,Social media and short-form video
brandnewtube.com,Social media and video sharing
dubsmash.com,Social media and video sharing
17app.co,social medial and mobile app
badoo.com,social medial and mobile app
beautifulpeople.com,social medial-dating
knowncircle.com,Social networking and connections
littlemonsters.com,Social networking and entertainment
myspace.com,Social networking and entertainment
netlog.com,Social networking and entertainment
interpals.net,Social networking and language exchange
slideteam.net,Business and PowerPoint templates
aitype.com,mobile app 
actmobile.com,mobile app development
aptoide.com,mobile app industry
tunedglobal.com,Mobile app맋evelopment and audio content
modaco.com,Technology and Android devices
mac-forums.com,Technology and Apple products
macg.co,Technology and Apple products
mac-torrents.com,Technology and Apple products
creative.com,Technology and consumer electronics
nvidia.com,Technology and graphics processing
benchmark.rs,technology and hardware
bhinneka.com,technology and hardware
sweclockers.com,Technology and hardware
intgovforum.org,Technology and internet governance
flashback.se,Technology and internet services
insanelyi.com,Technology and iOS jailbreaking
hub4tech.com,Technology and IT services
myrepospace.com,Technology and mobile app hosting
hiapk.com,Technology and mobile apps
gfan.com,Technology and mobile devices
htcmania.com,Technology and mobile devices
ipmart-forum.com,Technology and mobile devices
linuxforums.org,Technology and open-source software
linuxmint.com,Technology and open-source software
daniweb.com,Technology and programming
geekedin.net,Technology and social networking
bitly.com,Technology and software
win7vista.com,Technology and software
majorgeeks.com,Technology and software downloads
mechodownload.com,Technology and software downloads
nulled.ch,Technology and software piracy
nulled.cr,Technology and software piracy
forums.boxee.com,Technology and streaming devices
joomlart.com,Web design and development
nemoweb.net,Web design and development
imavex.com,Web design and digital marketing
vbulletin.com,Web development and forum software
phpfreaks.com,Web development and programming
programmingforums.org,Web development and programming
sitepoint.com,Web development and programming
teracod.org,Web development and software engineering
wpsandbox.io,Web development and testing
zap-hosting.com,Web hosting and game server hosting
whmcs.com,Web hosting and management software
kimsufi.com,Web hosting and server solutions
fhostingesps6bly.onion,Web hosting마nd anonymous browsing
ovh.com,Web hosting마nd cloud computing
avast.com,cyber security
malwarebytes.org,Cybersecurity and antivirus software
cit0day.in,Cybersecurity and data breaches
weleakinfo.com,Cybersecurity and data breaches
quantumbooter.net,Cybersecurity and DDoS attacks
staminus.net,Cybersecurity and DDoS protection
cfire.mail.ru,Cybersecurity and email services
cardmafia.cc,Cybersecurity and fraud prevention
cardmafia.cc,Cybersecurity and fraud prevention
crackcommunity.com,Cybersecurity and hacking
cracked.to,Cybersecurity and hacking
crackingforum.com,Cybersecurity and hacking
demonforums.net,Cybersecurity and hacking
doxbin.com,Cybersecurity and hacking
cyberserve.co.il,Cybersecurity and IT services
mspy.com,Cybersecurity and mobile software
socialengineered.net,Cybersecurity and social engineering
hackingteam.com,Cybersecurity and surveillance
factual.com,Data and location intelligence
appen.com,data annotation and machine learning industry
reincubate.com,Data recovery and software development
dafont.com,Design and typography
aerserv.com,digital advertising
bannerbit.com,digital advertising
blackhatworld.com,Digital marketing마ndSEO
animoto.com,digital media and video production
500px.com,digital photography
epik.com,Domain registration and web hosting
mail.ru,Email and internet services
stratfor.com,Geopolitics and intelligence analysis
hackforums.net,Hacking and cybersecurity
lizardstresser.su,Hacking and cybersecurity
verified.cm,Identity verification and authentication
imgur.com,Image hosting and sharing
yahoo.com,Internet and technology
kiwifarms.net,Internet culture and controversy
spyfone.com,Mobile phone tracking and monitoring
victoryphones.com,Mobile phones and accessories
gonitro.com,Productivity and software
flexbooker.com,Scheduling마nd appointment software
ogusers.com,Social engineering and hacking
ogusers.com,Social engineering and hacking
ogusers.com,Social engineering and hacking
adobe.com,software and hardware
devkitpro.org,Software development and programming
fanpass.co.uk,Sports and entertainment
seedpeer.eu,Torrents and file sharing
sktorrent.eu,Torrents and file sharing
sumotorrent.sx,Torrents and file sharing
utorrent.com,Torrents and file sharing
torrent-invites.com,Torrents and private trackers
myvidster.com,Video sharing and bookmarking
dailymotion.com,Video sharing and streaming
bell.ca,telecommunication
bell.ca,telecommunication
comcast.net,Telecommunications and internet services
starnet.md,Telecommunications and internet services
vianet.com.np,Telecommunications and internet services
vodafone.is,Telecommunications and internet services
phonehouse.es,Telecommunications and mobile devices
ppcgeeks.com,Telecommunications and mobile devices
lapostemobile.fr,Telecommunications and mobile services
abusewith.us,does not appear to be an active website or belong to any industry.
